a's	-apple
ab's	-apple bee
abc's	-apple bee comb
acclivity	- dốc ngược
acclivous	- dốc ngược
accolade	- sự ôm hôn, sự gõ nhẹ sống gươm lên vai (khi phong tước)- (âm nhạc) dấu gộp
accommodate	- điều tiết, làm cho thích nghi, làm cho phù hợp- hoà giải, dàn xếp- (+ with) cung cấp, cấp cho, kiếm cho- chứa được, đựng được- cho trọ; tìm chỗ cho trọ- giúp đỡ, làm ơn
accommodating	- dễ dãi, dễ tính, xuề xoà- hay giúp đỡ, sẵn lòng giúp đỡ, hay làm ơn
accommodation	- sự điều tiết, sự thích nghi, sự làm cho phù hợp- sự điều tiết (sức nhìn của mắt)- sự hoà giải, sự dàn xếp- tiện nghi, sự tiện lợi, sự thuận tiện- chỗ trọ, chỗ ăn chỗ ở- món tiền cho vay
accommodation train	- (từ Mỹ,nghĩa Mỹ) xe lửa địa phương (ở địa phương)
accommodation unit	- nơi ở
accommodation-ladder	-,lædə/- (hàng hải) thang, thang dây (ở bên sườn tàu thuỷ để lên xuống các xuồng nhỏ)
accompaniment	- vật phụ thuộc, vật kèm theo; cái bổ sung- (âm nhạc) sự đệm (dàn nhạc); phần nhạc đệm
accompanist	- (âm nhạc) người đệm (nhạc, đàn)
accompany	- đi theo, đi cùng, đi kèm, hộ tống- phụ thêm, kèm theo- (âm nhạc) đệm (đàn, nhạc)
accomplice	- kẻ tòng phạm, kẻ đồng loã
accomplish	- hoàn thành, làm xong, làm trọn- thực hiện, đạt tới (mục đích...)- làm (ai) hoàn hảo, làm (ai) đạt tới sự hoàn mỹ (về nhạc, hoạ, nữ công...)
accomplished	- đã hoàn thành, đã làm xong, xong xuôi, trọn vẹn- được giáo dục kỹ lưỡng, có đầy đủ tài năng; hoàn hảo, hoàn mỹ (về nhạc, hoạ, nữ công...)
accomplishment	- sự hoàn thành, sự làm xong, sự làm trọn- sự thực hiện (mục đích...)- việc đã hoàn thành, việc làm xong, ý định đã thực hiện được; thành quả, thành tựu, thành tích- (số nhiều) tài năng, tài nghệ (về nhạc, hoạ, nữ công...); (xấu) tài vặt
accord	- sự đồng lòng, sự đồng ý, sự tán thành- hoà ước- sự phù hợp, sự hoà hợp- (âm nhạc) sự hợp âm- ý chí, ý muốn- làm cho hoà hợp- cho, ban cho, chấp thuận, chấp nhận- (+ with) phù hợp với, hoà hợp với, thống nhất với, nhất trí với
accordance	- sự đồng ý, sự thoả thuận (với ai)- sự phù hợp, sự theo đúng (cái gì)- sự cho, sự ban cho
accordant	- ((thường) + with) thích hợp, phù hợp, hoà hợp với, theo đúng với
according	- (+ to) theo, y theo- (+ as) tuỳ, tuỳ theo
accordingly	- do đó, vì vậy, cho nên- (sao) cho phù hợp (với hoàn cảnh)- (+ as) (như) according as
accordion	- (âm nhạc) đàn xếp, đàn ăccoc
accordionist	- người chơi đàn xếp, người chơi đàn ăccooc
accost	- đến gần- bắt chuyện- gạ gẫm; níu, kéo, bám sát (nói về gái điếm)- sự chào
accouchement	- sự đẻ
accoucheur	- người đỡ đẻ
accoucheuse	- nữ hộ sinh, bà đỡ
account	- sự tính toán- sự kế toán; sổ sách, kế toán- bản kê khai; bản thanh toán tiền, bản ghi những món tiền phải trả- sự thanh toán- sự trả dần, sự trả làm nhiều kỳ- tài khoản, số tiền gửi- lợi, lợi ích- lý do, nguyên nhân, sự giải thích- báo cáo, bài tường thuật; sự tường thuật, sự miêu tả- sự đánh giá, sự chú ý, sự lưu tâm- tầm quan trọng, giá trị- theo sự đánh giá chung, theo ý kiến chung- (xem) balance- (như) according to all accounts- (xem) go- bắt phải báo cáo sổ sách, bắt phải báo cáo mọi khoản thu chi; bắt phải giải thích (về cái gì...)-(đùa cợt); (thông tục) nôn mửa- giả mạo sổ sách (kế toán); bịa ra một khoản, kê khai giả mạo một khoản- đòi báo cáo sổ sách; bắt phải giải thích (việc gì...)- gây được tiếng tốt cho mình; (thể dục,thể thao) thắng lợi, đạt được kết quả tốt- (tôn giáo) ngày tận thế- (từ Mỹ,nghĩa Mỹ) thoát nợ đời; chết- đánh giá cao, coi trọng- mong đợi ở cái gì; hy vọng ở cái gì- không quan tâm đến, không để ý đến, không đếm xỉa đến- vì mình, vì lợi ích của mình, vì mục đích của mình- tự mình phải gánh lấy mọi sự xảy ra- vì ai- thanh toán với ai- trả thù ai, thanh toán mối thù với ai- coi, coi như, coi là, cho là- (+ for) giải thích (cho)- giải thích (việc sử dụng, thanh toán, tính toán tiền nong)- (thể dục,thể thao) bắn được, hạ được
accountability	- trách nhiệm, trách nhiệm phải giải thích
accountable	- chịu trách nhiệm, có trách nhiệm phải giải thích- có thể nói rõ được, có thể giải thích được
accountancy	- nghề kế toán
accountant	- nhân viên kế toán, người giữ sổ sách kế toán- (pháp lý) người có trách nhiệm báo cáo về sổ sách kế toán; người bị can về một vụ tiền nong kế toán
accountantship	- chức kế toán
accounting	- sự thanh toán, sự tính toán (tiền nong, sổ sách)- sự giải thích
accoutre	- mặc cho (bộ đồ đặc biệt...); trang bị cho
accoutrement	- bộ áo quần đặc biệt; quần áo- (quân sự) đồ trang bị (cho người lính, trừ quần áo, súng)
accredit	- làm cho người ta tin (ý kiến, tin tức, tin đồn...)- làm cho được tín nhiệm, gây uy tín cho (ai...)- uỷ nhiệm làm (đại sứ...)- (+ to,  with) gán cho, quy cho, đổ cho
accredited	- được chính thức công nhận (người); được mọi người thừa nhận (tin tức, ý kiến, tin đồn...)
accrescent	- (thực vật học) cùng phát triển, cùng lớn lên
accrete	- cùng phát triển, cùng lớn lên thành một khối- bôi dần lên quanh một hạt nhân, phát triển dần lên quanh một hạt nhân- (thực vật học) lớn lên
accretion	- sự lớn dần lên, sự phát triển dần lên, - sự bồi dần vào- phần bồi thêm, phần phát triển dần lên- (pháp lý) sự tăng thêm (của cải, tài sản...)
accretive	- lớn dần lên, phát triển dần lên- được bồi dần vào
accrual	- sự dồn lại, sự tích lại- số lượng dồn lại, số lượng tích lại
accrue	- (+ to) đổ dồn về (ai...)- (+ from) sinh ra (từ...), do... mà ra- dồn lại, tích luỹ lại (tiền lãi...)
accruement	- sự dồn lại, sự tích lại- số lượng dồn lại, số lượng tích lại
accumulate	- chất đống, chồng chất, tích luỹ, gom góp lại- làm giàu, tích của- thi cùng một lúc nhiều bằng (ở trường đại học)
accumulation	- sự chất đống, sự chồng chất, sự tích luỹ, sự tích lại, sự tích tụ, sự góp nhặt- sự làm giàu, sự tích của- sự tích thêm vốn (do lãi ngày một đẻ ra)- đống (giấy má, sách vở...)- sự thi cùng một lúc nhiều bằng (ở trường đại học)
accumulative	- chất đống, chồng chất; tích luỹ được, góp nhặt được- thích tích luỹ của cải, ham làm giàu (người)
accumulator	- người tích luỹ- người thích làm giàu, người trữ của- (vật lý) ăcquy- người thi cùng một lúc nhiều bằng (ở trường đại học)
accuracy	- sự đúng đắn, sự chính xác; độ chính xác
accurate	- đúng đắn, chính xác, xác đáng
accurateness	- sự đúng đắn, sự chính xác; độ chính xác
accursal	- sự kết tội, sự buộc tội; sự bị kết tội- sự tố cáo- cáo trạng
accursed	- đáng nguyền rủa, đáng ghét, ghê tởm- xấu số, phận rủi, phận hẩm hiu- phiền toái, khó chịu
accurst	- đáng nguyền rủa, đáng ghét, ghê tởm- xấu số, phận rủi, phận hẩm hiu- phiền toái, khó chịu
accusation	- sự kết tội, sự buộc tội; sự bị kết tội- sự tố cáo- cáo trạng
accusative	- (ngôn ngữ học) (thuộc) đổi cách- (ngôn ngữ học) đổi cách
accusatorial	- buộc tội, kết tội; tố cáo
accusatory	- buộc tội, kết tội; tố cáo
accuse	- buộc tội, kết tội; tố cáo
accuser	- uỷ viên công tố, người buộc tội- nguyên cáo
accustom	- làm cho quen, tập cho quen
accustomed	- quen với; thành thói quen, thành thường lệ
